DIRECCIÓN,BARRIO,"COORDENADAS
MAGNA-SIRGAS COLOMBIA
ORIGEN BOGOTÁ",,TIPO,DIÁMETRO HIDRANTE
,,X,Y,,
CL 44#9-19,Garcia Rovira,1.104.707,1.278.440,Tipo Tráfico,4''
CL  41#3A-27,La Joya,1.104.184,1.278.505,Tipo Milán,3''
CL  52 #16,San Miguel,1.105.527,1.278.028,Tipo Milán,3''
CL 37#8 OCC,La Joya,1.103.537,1.278.065,Tipo Milán,3''
CL 36 #11OCC-22,Pantano II,1.103.337,1.278.098,Tipo Milán,3''
CRA 18#36-45,La Joya,1.103.147,1.277.861,Tipo Milán,3''
CRA 21#41-31,Bólivar,1.105.769,1.278.870,Tipo Tráfico,4''
CL 17 # 32-31 ,San Alonso,1.106.249,1.280.651,Tipo Tráfico,4''
CRA 41 # 41-71/ 77 ,Cabecera del Llano,1.107.292,1.279.565,Tipo Tráfico,6''
CL 18 # 24-46,San Francisco,1.105.575,1.280.423,Tipo Tráfico,4''
CL 30 # 28-60 ,La Aurora,1.106.057,1.279.959,Tipo Tráfico,4''
CRA 39A # 44-23 ,Cabecera del Llano,1.107.221,1.279.269,Tipo Tráfico,4''
CL 37 #5-07,Alfonso López,1.104.264,1.278.659,Tipo Tráfico,4''
CL 35 #8-25,Alfonso López,1.104.459,1.278.841,Tipo Tráfico,4''
CL 12 # 24-52,Mutualidad,1.105.471,1.280.945,Tipo Tráfico,4''
CL 107 # 22A-38 ,Provenza,1.106.389,1.275.241,Tipo Tráfico,4''
CRA 34 # 32-134,Alvarez las Américas,1.106.717,1.279.965,Tipo Tráfico,4''
CL 39 # 23-81 ,Bólivar,1.105.937,1.279.091,Tipo Tráfico,4''
CL 19 # 18-31,San Francisco,1.105.023,1.280.216,Tipo Tráfico,4''
CRA 40 # 42-11 ,Cabecera del Llano,1.107.256,1.279.420,Tipo Tráfico,4''
CL 21 # 20-32,San Francisco,1.105.245,1.280.056,Tipo Tráfico,4''
CRA 17 #13 ,Modelo,1.104.773,1.280.705,Tipo Tráfico,4''
CRA 25 # 33-95 T 1 ,Antonia Santos centro,1.105.892,1.279.470,Tipo Tráfico,4''
CL 3N#15,Chapinero,1.104.320,1.281.567,Tipo Tráfico,4''
CL 50 # 27A-41 ,Sotomayor,1.106.422,1.278.666,Tipo Tráfico,4''
CL 3N#15-63,Chapinero,1.104.373,1.281.577,Tipo Tráfico,4''
CL 51A # 15-13,San Miguel,1.105.395,1.278.025,Tipo Milán,3''
CRA 10 # 52 ,San Miguel,1.105.532,1.277.987,Tipo Milán,3''
CRA 15 #50 ,San Miguel,1.105.308,1.278.172,Tipo Milán,3''
CL 108 # 22A-40 ,Provenza,1.106.401,1.275.181,Tipo Tráfico,4''
CL 33A # 24-83..,Antonia Santos centro,1.105.854,1.279.508,Tipo Tráfico,4''
CL 40A # 25-65 ,Bólivar,1.106.165,1.279.080,Tipo Tráfico,4''
CRA 38 # 41-36 ,Cabecera del Llano,1.107.049,1.279.488,Tipo Tráfico,4''
CL 42 # 40-15 PORTERIA,Cabecera del Llano,1.107.252,1.279.448,Tipo Tráfico,4''
CL 55A # 1-17 URB CENTAUROS,Ciudadela Real de Minas,1.104.795,1.277.208,Tipo Tráfico,4''
CL 51 # 18-67 ,La Concordia,1.105.862,1.278.309,Tipo Tráfico,4''
CRA 40A # 41-56 ,Cabecera del Llano,1.107.242,1.279.534,Tipo Tráfico,4''
CRA 7 #35-72,Alfonso López,1.104.288,1.278.690,Tipo Tráfico,4''
CRA 39 # 51-14 ,Cabecera del Llano,1.107.263,1.278.718,Tipo Tráfico,4''
CL 19 # 30-34,San Alonso,1.106.113,1.280.424,Tipo Tráfico,4''
CRA 17 # 68-65 ,La Victoria,1.106.259,1.276.796,Tipo Tráfico,4''
VIA PAMPLONA # 1-97 ,Quinta Brigada,1.107.167,1.280.315,Tipo Tráfico,4''
CL 22 #20-37,San Francisco,1.105.267,1.279.976,Tipo Tráfico,6''
CRA 36 # 48-76 HOTEL,Cabecera del Llano,1.107.028,1.278.793,Tipo Tráfico,4''
CL 107 # 22A-110 ,Provenza,1.106.462,1.275.242,Tipo Tráfico,4''
CRA 10 DN # 24-12 T 19 ,Villas de San Ignacio,1.103.466,1.282.715,Tipo Tráfico,4''
CL 10 # 22-36 ,Mutualidad,1.105.234,1.281.074,Tipo Tráfico,4''
CL 40 # 23-54,Bólivar,1.105.976,1.279.048,Tipo Tráfico,4''
CRA 23 # 37-81 ,Bólivar,1.105.865,1.279.050,Tipo Milán,3''
CL 10NB # 2 OCC - 03 -  ETAPA 3,Villas de San Ignacio,1.102.851,1.282.538,Tipo Tráfico,4''
CRA 49 # 53-158 ,Pan de Azucar,1.107.628,1.278.402,Tipo Milán,3''
CL 32 # 25-50/60 ,Antonia Santos centro,1.105.893,1.279.663,Tipo Tráfico,4''
CL 21 # 28-25,San Alonso,1.105.966,1.280.209,Tipo Tráfico,4''
CL 24 # 24-44 ,Alarcón,1.105.660,1.279.979,Tipo Tráfico,4''
CL 106 # 21-05,Provenza,1.106.113,1.275.290,Tipo Milán,3''
CRA 38#18-64,Centro,1.105.468,1.278.930,Tipo Tráfico,4''
CRA 28 # 45-63,Sotomayor,1.106.534,1.278.938,Tipo Milán,3''
CL 66A # 25W-11 ,La Gran Ladera,1.104.190,1.275.863,Tipo Tráfico,4''
CRA 17 # 70-04,Nueva Granada,1.106.350,1.276.653,Tipo Milán,3''
CRA 17 # 22N-06,Olas Bajas,1.104.255,1.283.134,Tipo Milán,3''
CL 110A # 15-07 ,Punta Paraíso,1.105.277,1.274.485,Tipo Tráfico,4''
CL 64 # 46-05 ,La Floresta,1.107.345,1.277.775,Tipo Tráfico,4''
COSTADO SUR VIADUCTO LA FLORA,El Tejar,1.107.249,1.277.045,Tipo Tráfico,4''
CRA 32 # 17-40 ,San Alonso,1.106.224,1.280.599,Tipo Tráfico,4''
TRANS 93 # 34-180 T 8 ,El Tejar,1.107.137,1.277.022,Tipo Tráfico,4''
TRANS 93 # 34-99 OF 1004,El Tejar,1.107.128,1.276.959,Tipo Tráfico,4''
TRANS 93 # 34-99 ,El Tejar,1.107.116,1.276.899,Tipo Tráfico,4''
TRANS ORIENTAL # 90-182 ,El Tejar,1.107.229,1.276.994,Tipo Tráfico,4''
TRANS 93 # 34-99 ,El Tejar,1.107.246,1.276.885,Tipo Tráfico,4''
DG 31 # 52-06,Bolarqui,1.106.630,1.278.397,Tipo Tráfico,4''
CRA 24 # 19N-07 ,Lizcano II,1.105.198,1.282.409,Tipo Milán,3''
CL 37 #6-23,Alfonso López,1.104.320,1.278.680,Tipo Tráfico,4''
CRA 34 # 42-54 ,Cabecera del Llano,1.106.765,1.279.276,Tipo Tráfico,4''
TRANS CENTRAL METROP # 2A-14,Bucaramanga,1.104.830,1.276.351,Tipo Milán,3''
CL 121 # 19-12 ,El Cristal,1.106.021,1.274.430,Tipo Milán,3''
CRA 21B # 115-116 BL 2 E.A AP.101,Provenza,1.106.226,1.274.622,Tipo Milán,3''
CRA 24 # 89-08,Diamante II,1.106.583,1.275.958,Tipo Milán,3''
AV 89 # 23-211,Diamante II,1.106.739,1.276.358,Tipo Milán,3''
TRANS ORIENTAL # 90-182 ,El Tejar,1.107.239,1.276.934,Tipo Tráfico,4''
CL 19 # 32-45,San Alonso,1.106.302,1.280.472,Tipo Tráfico,4''
CL 105 # 21-05 ,Provenza,1.106.114,1.275.393,Tipo Piso,2''
CRA 21 # 103-32,Provenza,1.106.114,1.275.453,Tipo Piso,2''
CL 55 # 28-54 ,Bolarqui,1.106.517,1.278.201,Tipo Piso,2''
CL 71D # 31A-05,Quebrada La iglesia,1.106.973,1.277.300,Tipo Piso,2''
SUB-ESTACION PROVENZA C105 K24,Provenza,1.106.718,1.275.393,Tipo Piso,2''
CRA 19#41-51,Centro,1.105.568,1.278.799,Tipo Milán,3''
AUT FLORIDA # 86-30,Villa Diamante,1.106.970,1.275.910,Tipo Tráfico,6''
PEATONAL CRA 33A # 112-32 ,Villa Diamante,1.106.946,1.275.991,Tipo Tráfico,4''
CL 104B # 15A-03 ,Delicias,1.105.563,1.275.234,Tipo Tráfico,6''
CL 57 # 3W-05,Mutis,1.104.559,1.277.060,Tipo Milán,3''
CRA 2W # 58-07 ,Mutis,1.104.680,1.277.104,Tipo Milán,3''
CL 53 # 49-26 CASA 5,Pan de Azucar,1.107.690,1.278.515,Tipo Tráfico,4''
CL 105 # 22-160 ,Provenza,1.106.424,1.275.365,Tipo Tráfico,4''
CL 42 # 29-10,Mejoras Públicas,1.106.544,1.279.252,Tipo Tráfico,4''
CL 50 #16-48,San Miguel,1.105.491,1.278.266,Tipo Tráfico,4''
CL 41 # 26-45,Bólivar,1.106.253,1.279.075,Tipo Tráfico,4''
CL 32 # 26-80 SERVITECA PARQUE,Antonia Santos centro,1.105.972,1.279.707,Tipo Tráfico,4''
CRA 27 # 36-70 ,Bólivar,1.106.173,1.279.272,Tipo Tráfico,4''
CL 53 # 37-38,Cabecera del Llano,1.107.225,1.278.360,Tipo Tráfico,4''
CRA 27A # 51-10 LAVADERO,Nuevo Sotomayor,1.106.322,1.278.581,Tipo Tráfico,4''
CRA 27 # 33-02/22,Antonia Santos centro,1.106.026,1.279.640,Tipo Tráfico,4''
CRA 22#33-01,Antonia Santos centro,1.105.610,1.279.457,Tipo Tráfico,4''
CRA 28 # 42-47 ,Sotomayor,1.106.457,1.279.144,Tipo Tráfico,4''
CL 10 # 26-16 ,Universidad,1.105.572,1.281.142,Tipo Tráfico,4''
CRA 29 # 32-37 ,Mejoras Públicas,1.106.208,1.279.793,Tipo Tráfico,4''
CRA 39A # 42-56 ,Cabecera del Llano,1.107.188,1.279.361,Tipo Tráfico,4''
CL 35 # 29-20 ,Mejoras Públicas,1.106.358,1.279.570,Tipo Tráfico,4''
CRA 25 # 11-31,Universidad,1.105.506,1.281.011,Tipo Piso,2''
CRA 37 # 100-23 T 6 ,Fatima,1.107.782,1.276.460,Tipo Tráfico,4''
CRA 32A # 14-11,San Alonso,1.106.283,1.280.790,Tipo Milán,3''
CRA 39 # 48-152 ,Cabecera del Llano,1.107.243,1.278.752,Tipo Tráfico,4''
CRA 31 # 21-42 ,San Alonso,1.106.212,1.280.200,Tipo Piso,2''
CL 48 # 25-43,Nuevo Sotomayor,1.106.189,1.278.863,Tipo Milán,3''
CRA 21 # 54-62,La Concordia,1.106.132,1.278.069,Tipo Tráfico,4''
PEAT CRA 59 # 20-24,Provenza,1.106.147,1.275.131,Tipo Tráfico,4''
CL 35 # 29-05 ,Mejoras Públicas,1.106.345,1.279.564,Tipo Milán,3''
CL 43 # 35-55 ,Cabecera del Llano,1.106.928,1.279.302,Tipo Tráfico,4''
CL 18 # 32B-45,San Alonso,1.106.440,1.280.585,Tipo Tráfico,4''
CRA 29 # 16-67,San Alonso,1.105.960,1.280.598,Tipo Milán,3''
CRA 28 # 30-55 ,La Aurora,1.106.052,1.279.868,Tipo Milán,3''
CL 32 # 27,La Aurora,1.106.010,1.279.746,Tipo Tráfico,4''
CL 18 # 32-69,San Alonso,1.106.308,1.280.571,Tipo Tráfico,4''
CRA 27 # 33-95/97,Mejoras Públicas,1.106.114,1.279.549,Tipo Tráfico,4''
CRA 33 # 37-68/ 50,Mejoras Públicas,1.106.638,1.279.503,Tipo Tráfico,4''
CRA 27 # 37-56 LAVADERO,Mejoras Públicas,1.106.223,1.279.209,Tipo Tráfico,4''
CL 42 # 35-45,El Prado,1.106.893,1.279.372,Tipo Tráfico,4''
CL 36 # 28-07 ,Mejoras Públicas,1.106.278,1.279.457,Tipo Tráfico,4''
CL 33 # 30-20,Mejoras Públicas,1.106.342,1.279.806,Tipo Tráfico,4''
CL 15 # 25-50,San Francisco,1.105.609,1.280.711,Tipo Tráfico,4''
CRA 25 # 15-02 ,San Francisco,1.105.553,1.280.693,Tipo Tráfico,4''
CL 20 # 25-45 ,San Francisco,1.105.704,1.280.253,Tipo Tráfico,4''
CRA 55 # 71-02 PARROQUIA,Lagos del Cacique,1.108.252,1.277.619,Tipo Milán,3''
CRA 53 # 72-13,Lagos del Cacique,1.108.034,1.277.403,Tipo Tráfico,4''
CRA 11W # 60BIS-90 ,Brisas del Mutis,1.104.303,1.276.469,Tipo Milán,3''
CL 9 # 23-04 LOC 2,Comuneros,1.105.276,1.281.186,Tipo Milán,3''
CRA 6 # 60-03 CUNJ. RESIDENCIAL SAMANES 5 ,Ciudadela Real de Minas,1.105.190,1.277.326,Tipo Milán,3''
CRA 9 # 60-02 ,Ciudadela Real de Minas,1.105.360,1.277.441,Tipo Tráfico,6''
CRA 9A#45A-03,Chorreras de Don Juan,1.104.757,1.278.324,Tipo Milán,3''
CRA 10E # 68-26,Pablo VI,1.105.874,1.276.572,Tipo Piso,2''
CRA 3 # 58-35 T 4D INT 1,Ciudadela Real de Minas,1.104.962,1.277.235,Tipo Milán,3''
CRA 14#42 ESQUINA ,Centro,1.105.042,1.278.696,Tipo Tráfico,4''
CL 69 # 8A-31 JUAN XXIII,Juan XXIII,1.105.693,1.276.361,Tipo Milán,3''
CRA 17A # 63-37 LOC. 11,La Ceiba,1.106.070,1.277.372,Tipo Milán,3''
AV. QUEBRADA SECA CRA 18-96,Alarcón,1.105.245,1.279.624,Tipo Milán,3''
CL 69 # 20-25 ,La Victoria,1.106.435,1.276.897,Tipo Piso,2''
CL 68 # 15-04 ,La Victoria,1.106.131,1.276.786,Tipo Piso,2''
CL 67 # 16-30,La Victoria,1.106.130,1.276.942,Tipo Piso,2''
CL 68 # 11-06,La Victoria,1.105.970,1.276.663,Tipo Milán,3''
CRA 17C # 64-27,La Ceiba,1.106.225,1.277.377,Tipo Piso,2''
CL 61 # 17-36 ,La Ceiba,1.106.018,1.277.489,Tipo Milán,3''
CRA 27 # 67-15,La Salle,1.106.525,1.277.242,Tipo Milán,3''
CL 23N # 17-90,Olas Bajas,1.104.323,1.283.217,Tipo Milán,3''
CL 32 CRA 27 PARQUE DE LOS NIÑOS,Antonia Santos centro,1.105.936,1.279.844,Tipo Tráfico,4''
CRA 30 # 53-16,Bolarqui,1.106.511,1.278.352,Tipo Tráfico,4''
CL 22 # 25-25 ,San Francisco,1.105.716,1.280.062,Tipo Tráfico,4''
CL 59#9A-9 ENVÍA,Zona Industrial Autopista a Bucaramanga lado norte,1.101.623,1.275.291,Tipo Tráfico,4''
CL 70 # 8B-27,Juan XXIII,1.105.726,1.276.323,Tipo Milán,3''
CRA 5 OCC # 11NC - 37,Villas de San Ignacio,1.102.850,1.282.745,Tipo Milán,3''
CRA 2A OCC # 8N - 03 ET 4,Villas de San Ignacio,1.102.589,1.282.456,Tipo Tráfico,4''
CRA 4 OCC # 9N - 29 -  ETAPA 6,Villas de San Ignacio,1.102.657,1.282.572,Tipo Tráfico,4''
CL 10ND # 5 OCC - 11 -  ETAPA 6,Villas de San Ignacio,1.102.758,1.282.701,Tipo Tráfico,4''
CL 11N # 1A OCC - 19,Villas de San Ignacio,1.102.868,1.282.559,Tipo Tráfico,4''
CRA 19#36,Centro,1.105.427,1.279.108,Tipo Milán,3''
CRA 35#PASAJE MARTÍNEZ MUTIS,Centro,1.105.160,1.279.096,Tipo Piso,2''
CRA 15 AV QUEBRADA SECA,Centro,1.104.882,1.279.474,Tipo Tráfico,4''
AV. QUEBRADA SECA  CRA 16,Centro,1.104.946,1.279.485,Tipo Tráfico,4''
AV. QUEBRADA SECA CRA 14,Centro,1.104.809,1.279.420,Tipo Tráfico,4''
CRA 17#8-26,Comuneros,1.104.692,1.281.138,Tipo Tráfico,4''
CRA 19 # 8-07,Comuneros,1.104.883,1.281.197,Tipo Tráfico,4''
CL 24 CRA 12,Granada,1.104.522,1.279.627,Tipo Piso,2''
CRA 14#28,Granada,1.104.710,1.279.665,Tipo Milán,4''
CRA 14#28,Granada,1.104.745,1.279.545,Tipo Tráfico,4''
CRA 27 # 34-72 ,Antonia Santos centro,1.106.113,1.279.453,Tipo Tráfico,4''
CRA 6#28-34,Girardot,1.104.168,1.279.294,Tipo Tráfico,6''
CL 28#12,Granada,1.104.573,1.279.466,Tipo Milán,3''
CRA 25 # 101-35,Provenza,1.106.719,1.275.567,Tipo Tráfico,4''
CL ESTUDIANTES # 9-67/ 75,Ciudadela Real de Minas,1.105.341,1.277.615,Tipo Tráfico,4''
CRA 22C # 5N-03,El Plan,1.105.078,1.281.987,Tipo Milán,3''
CRA 3 # 55-100 MZ G CASA 14,Ciudadela Real de Minas,1.104.867,1.277.348,Tipo Tráfico,6''
CL 95 # 32-38 ,Porto Fino,1.107.117,1.276.556,Tipo Milán,3''
CRA 9A # 31DN-23 MZ A ,Villas de San Ignacio,1.103.350,1.283.447,Tipo Milán,3''
CRA 28 # 41-27 ,Sotomayor,1.106.456,1.279.182,Tipo Tráfico,4''
CL 45 # 27-03 ,Sotomayor,1.106.293,1.278.978,Tipo Tráfico,4''
CRA 28 # 51-74,Sotomayor,1.106.357,1.278.502,Tipo Tráfico,4''
CRA 27 # 48-103 ,Sotomayor,1.106.328,1.278.713,Tipo Tráfico,4''
CRA 27A # 40-25 ,Mejoras Públicas,1.106.305,1.279.248,Tipo Milán,3''
CL 52 # 30-16,Sotomayor,1.106.601,1.278.413,Tipo Tráfico,4''
CL 54 # 33-12,Cabecera del Llano,1.106.888,1.278.226,Tipo Milán,3''
CRA 38 # 51-117,Cabecera del Llano,1.107.203,1.278.530,Tipo Tráfico,6''
CRA 35A # 49-07 ,Cabecera del Llano,1.106.991,1.278.640,Tipo Tráfico,4''
CL 35#9-81,Garcia Rovira,1.104.590,1.278.877,Tipo Tráfico,4''
CL 52 # 33-14,Cabecera del Llano,1.106.849,1.278.442,Tipo Milán,3''
CRA 33 # 49-35 T N ,Cabecera del Llano,1.106.818,1.278.613,Tipo Milán,3''
CL 48 # 33-08,Cabecera del Llano,1.106.780,1.278.822,Tipo Milán,3''
CRA 33 # 62-46,Conucos,1.106.932,1.277.807,Tipo Tráfico,4''
CL 50 # 20-46/48,La Concordia,1.105.935,1.278.444,Tipo Milán,3''
CRA 24 # 34-45,Antonia Santos centro,1.105.822,1.279.376,Tipo Tráfico,4''
CRA 33 # 70-58,Los Guayacanes,1.107.199,1.277.397,Tipo Tráfico,4''
CRA 27 # 58-85,Mercedes,1.106.448,1.277.827,Tipo Tráfico,4''
CL 54 # 27-37 ,Bolarqui,1.106.388,1.278.272,Tipo Tráfico,4''
CRA 27 # 56-41 ,Ricaurte,1.106.411,1.277.917,Tipo Tráfico,4''
CL 55 # 23-61,Bolarqui,1.106.382,1.278.131,Tipo Tráfico,4''
CL 53 # 24-05,Bolarqui,1.106.354,1.278.347,Tipo Tráfico,4''
CRA 24 # 52-74 ,Bolarqui,1.106.310,1.278.369,Tipo Tráfico,4''
CL 53 # 23-11 ,Bolarqui,1.106.242,1.278.281,Tipo Tráfico,4''
CRA 21 # 46-10,La Concordia,1.105.817,1.278.729,Tipo Tráfico,4''
CL 103 # 13D-22,Jardines de Coaviconsa,1.105.387,1.275.565,Tipo Tráfico,4''
CL 98 # 16-77 ,Fontana,1.105.576,1.275.765,Tipo Tráfico,4''
CRA 32W # 71-36 ,Quebrada La iglesia I,1.103.942,1.275.488,Tipo Tráfico,4''
CRA 19 # 104-56,Fontana,1.105.974,1.275.382,Tipo Tráfico,4''
CRA 15E # 105-75 ,Provenza,1.105.670,1.275.000,Tipo Tráfico,4''
CL 103 # 13B-09 ,Jardines de Coaviconsa,1.105.298,1.275.553,Tipo Tráfico,4''
CRA 13C # 99-95 CASA 11,Jardines de Coaviconsa,1.105.342,1.275.563,Tipo Tráfico,4''
CL 103 # 14-14 ,Jardines de Coaviconsa,1.105.454,1.275.568,Tipo Tráfico,4''
SECTOR 5 MZ-A CASA 3,Cristal Bajo,1.105.864,1.274.002,Tipo Milán,3''
CRA 4 # 15DN-20 ,Maria Paz,1.103.566,1.282.468,Tipo Milán,3''
