DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,Longitud,Latitud
CRA 25 # 18-65,San Francisco,1105631.435,1280355.426,Tipo Tráfico,4'',-73.12130143,7.130390124
GRANJA 8,Granjas de Provenza,1105901.729,1274825.232,Tipo Tráfico,4'',-73.11895848,7.080386391
CL 30 # 23-70 ,Antonia Santos centro,1105635.631,1279785.414,Tipo Tráfico,4'',-73.12127414,7.125236542
CRA 38 # 41-36,Cabecera del Llano,1107056.734,1279499.72,Tipo Tráfico,4'',-73.10841672,7.122626805
CL 91 # 22-68,Diamante II,1106498.725,1275870.576,Tipo Tráfico,4'',-73.11353578,7.089826212
CL 42 # 28-72,Mejoras Públicas,1106507.66,1279229.366,Tipo Tráfico,4'',-73.11339163,7.12019292
CRA 34 # 32-65,Alvarez las Américas,1106759.168,1280038.589,Tipo Tráfico,4'',-73.11109985,7.127504357
CL 16 # 23-26,San Francisco,1105428.571,1280577.972,Tipo Tráfico,4'',-73.12313348,7.132405964
CL 105 # 15B-29,Delicias,1105668.898,1275120.493,Tipo Tráfico,4'',-73.12106021,7.0830602
CRA 29 # 33-08,Mejoras Públicas,1106229.411,1279725.322,Tipo Tráfico,4'',-73.11590078,7.124682106
CRA 10-BETANIA SECTOR D-PEATONAL 1-CASA 14,Villas de San Ignacio,1103451.091,1282856.96,Tipo Tráfico,4'',-73.14099071,7.153047097
COLSEG NORTE BL 18,Colseguros Norte,1104322.749,1282195.698,Tipo Tráfico,4'',-73.13311281,7.147052479
CL 7N # 11-33 MIRAMAR,Miramar,1104475.269,1282145.489,Tipo Milán,3'',-73.13173317,7.146595711
CRA 10 # 9N-23,Minuto de Dios,1104362.233,1282267.835,Tipo Milán,3'',-73.13275408,7.147703943
CL 28N # 11-02,Altos del Kennedy,1103875.241,1283282.544,Tipo Piso,2'',-73.13714346,7.156887002
CRA 11 # 13BN-18,Omaga I,1104209.299,1282538.505,Tipo Piso,2'',-73.13413338,7.150153927
CRA 5 # 15N-04,Maria Paz,1103784.916,1282355.658,Tipo Milán,3'',-73.13797822,7.148508639
CL 17N # 10-07,Kennedy,1104053.063,1282732.168,Tipo Tráfico,4'',-73.13554402,7.151907731
CRA 17 # 16-11,Altos del Progreso,1104331.087,1282802.772,Tipo Milán,3'',-73.13302607,7.152540915
CL 104K # 5A-58,El Porvenir,1104297.462,1274660.709,Tipo Milán,3'',-73.13348087,7.078928611
DG 11A # 27N-02,Altos del Kennedy,1103936.391,1283209.197,Tipo Milán,3'',-73.13659129,7.156222743
CRA 12 # 28N-44,Omaga II,1103975.572,1283333.61,Tipo Milán,3'',-73.13623432,7.157346836
CL 55B # 29-47,Bolarqui,1106677.763,1278123.944,Tipo Tráfico,4'',-73.11187288,7.110195579
CRA 39 # 48-67 ,Cabecera del Llano,1107224.024,1278807.166,Tipo Tráfico,4'',-73.1069157,7.116362258
CRA 39A # 42-106,Cabecera del Llano,1107203.061,1279297.126,Tipo Tráfico,4'',-73.10709613,7.12079238
CL 51 # 38-14,Cabecera del Llano,1107175.678,1278676.429,Tipo Tráfico,4'',-73.10735576,7.115181181
CRA 39 # 48-110 ,Cabecera del Llano,1107223.818,1278783.115,Tipo Tráfico,4'',-73.10691802,7.11614482
CRA 49 # 64-65,La Floresta,1107496.695,1277711.622,Tipo Piso,2'',-73.10446857,7.106452274
CRA 38 # 41-108,Cabecera del Llano,1107033.762,1279442.066,Tipo Tráfico,4'',-73.10862574,7.122105999
CRA 39A # 44-209 ,Cabecera del Llano,1107238.841,1279078.869,Tipo Piso,2'',-73.10677643,7.11881844
CL 44 # 36-30 T 1 ,Cabecera del Llano,1107009.273,1279244.801,Tipo Milán,3'',-73.10885113,7.120322984
CRA 39 # 48-06 ,Cabecera del Llano,1107181.87,1278880.21,Tipo Tráfico,4'',-73.10729585,7.117023449
CL 32 # 34-27 ,Quinta Brigada,1106804.072,1280111.532,Tipo Tráfico,4'',-73.11069203,7.128162984
CRA 47#3OCC,Campo Hermoso,1103860.455,1277533.112,Tipo Milán,3'',-73.13738332,7.104906265
CRA 12A OCC#44,1 de Mayo,1103225.215,1277327.52,Tipo Milán,3'',-73.14313662,7.103059103
CL 42#8-46,Alfonso López,1104580.013,1278594.094,Tipo Tráfico,4'',-73.13085099,7.114485412
CRA 9#43-75,Garcia Rovira,1104685.747,1278453.058,Tipo Tráfico,4'',-73.12989659,7.113208342
CRA 17#46-169,La Concordia,1105536.807,1278519.442,Tipo Milán,3'',-73.12219231,7.113792703
CRA 13#51,San Miguel,1104997.179,1277949.747,Tipo Milán,3'',-73.12708713,7.108652105
CL  45 N 8-81,Garcia Rovira,1104781.738,1278407.419,Tipo Milán,3'',-73.12902861,7.112793939
CRA 4 #37-24,La Joya,1104027.439,1278614.954,Tipo Tráfico,3'',-73.13585203,7.114684209
CL 41#1,La Joya,1104035.661,1278275.215,Tipo Milán,3'',-73.13578388,7.111612453
CL 37#2A,La Joya,1103937.197,1278454.992,Tipo Milán,3'',-73.13667177,7.113239643
CRA 10#43-58,Garcia Rovira,1104755.914,1278510.165,Tipo Milán,3'',-73.12926044,7.113723351
CL 51#12 ,Candiles,1104788.354,1277841.763,Tipo Tráfico,4'',-73.12897922,7.107679685
CRA1#46 ESQUINA ,Campo Hermoso,1104133.722,1277834.767,Tipo Milán,3'',-73.13490443,7.107628521
CL 46 # 5-04,Chorreras de Don Juan,1104430.04,1278117.067,Tipo Piso,2'',-73.13221723,7.110175358
CL  46#10 OCC-87,Campo Hermoso,1103885.991,1277660.629,Tipo Milán,3'',-73.13714985,7.10605868
CRA 10O #49,Campo Hermoso,1103638.133,1277259.957,Tipo Milán,3'',-73.13940056,7.10244072
CL 44#9-19,Garcia Rovira,1104706.872,1278439.778,Tipo Tráfico,4'',-73.12970563,7.113087887
CL  41#3A-27,La Joya,1104183.831,1278505.101,Tipo Milán,3'',-73.13443853,7.113688139
CL  52 #16,San Miguel,1105526.753,1278027.992,Tipo Milán,3'',-73.1222925,7.109349668
CL 37#8 OCC,La Joya,1103536.977,1278064.57,Tipo Milán,3'',-73.14030137,7.109717142
CL 36 #11OCC-22,Pantano II,1103337.376,1278098.019,Tipo Milán,3'',-73.14210737,7.110023208
CRA 18#36-45,La Joya,1103146.881,1277860.78,Tipo Milán,3'',-73.14383589,7.107881785
CRA 21#41-31,Bólivar,1105768.659,1278869.588,Tipo Tráfico,4'',-73.12008723,7.116954043
CL 17 # 32-31 ,San Alonso,1106249.35,1280651.242,Tipo Tráfico,4'',-73.11570284,7.13305299
CRA 41 # 41-71/ 77 ,Cabecera del Llano,1107292.47,1279565.042,Tipo Tráfico,6'',-73.10628177,7.123212913
CL 18 # 24-46,San Francisco,1105575.187,1280422.721,Tipo Tráfico,4'',-73.1218093,7.130999591
CL 30 # 28-60 ,La Aurora,1106057.132,1279958.523,Tipo Tráfico,4'',-73.11745574,7.126793727
CRA 39A # 44-23 ,Cabecera del Llano,1107220.781,1279268.584,Tipo Tráfico,4'',-73.10693628,7.120534001
CL 37 #5-07,Alfonso López,1104264.304,1278658.642,Tipo Tráfico,4'',-73.13370732,7.11507483
CL 35 #8-25,Alfonso López,1104458.794,1278841.383,Tipo Tráfico,4'',-73.13194358,7.116723415
CL 12 # 24-52,Mutualidad,1105471.378,1280944.956,Tipo Tráfico,4'',-73.12273914,7.135723076
CL 107 # 22A-38 ,Provenza,1106388.876,1275241.449,Tipo Tráfico,4'',-73.11454178,7.084140315
CRA 34 # 32-134,Alvarez las Américas,1106716.925,1279965.493,Tipo Tráfico,4'',-73.11148359,7.126844294
CL 39 # 23-81 ,Bólivar,1105937.208,1279090.981,Tipo Tráfico,4'',-73.11855752,7.118952506
CL 19 # 18-31,San Francisco,1105023.491,1280216.032,Tipo Tráfico,4'',-73.12680681,7.129141212
CRA 40 # 42-11 ,Cabecera del Llano,1107256.415,1279420.13,Tipo Tráfico,4'',-73.10661087,7.121903444
CL 21 # 20-32,San Francisco,1105244.617,1280055.524,Tipo Tráfico,4'',-73.1248083,7.127685926
CRA 17 #13 ,Modelo,1104773.036,1280704.646,Tipo Tráfico,4'',-73.12906469,7.133563447
CRA 25 # 33-95 T 1 ,Antonia Santos centro,1105891.832,1279470.289,Tipo Tráfico,4'',-73.1189611,7.12238269
CL 3N#15,Chapinero,1104320.406,1281567.236,Tipo Tráfico,4'',-73.13314569,7.14137057
CL 50 # 27A-41 ,Sotomayor,1106421.882,1278665.854,Tipo Tráfico,4'',-73.11417865,7.115099818
CL 3N#15-63,Chapinero,1104373.475,1281577.141,Tipo Tráfico,4'',-73.13266513,7.141459139
CL 51A # 15-13,San Miguel,1105395.133,1278024.986,Tipo Milán,3'',-73.12348385,7.109324949
CRA 10 # 52 ,San Miguel,1105531.666,1277986.684,Tipo Milán,3'',-73.1222488,7.108976105
CRA 15 #50 ,San Miguel,1105308.095,1278171.545,Tipo Milán,3'',-73.12426889,7.11065161
CL 108 # 22A-40 ,Provenza,1106400.825,1275181.467,Tipo Tráfico,4'',-73.11443476,7.083597795
CL 33A # 24-83..,Antonia Santos centro,1105854.043,1279508.291,Tipo Tráfico,4'',-73.11930243,7.122726975
CL 40A # 25-65 ,Bólivar,1106164.835,1279080.027,Tipo Tráfico,4'',-73.11649742,7.1188492
CRA 38 # 41-36 ,Cabecera del Llano,1107049.296,1279487.993,Tipo Tráfico,4'',-73.10848426,7.122520929
CL 42 # 40-15 PORTERIA,Cabecera del Llano,1107251.899,1279448.436,Tipo Tráfico,4'',-73.10665121,7.12215945
CL 55A # 1-17 URB CENTAUROS,Ciudadela Real de Minas,1104795.496,1277208.46,Tipo Tráfico,4'',-73.12892631,7.101953826
CL 51 # 18-67 ,La Concordia,1105861.523,1278309.435,Tipo Tráfico,4'',-73.11925721,7.11188795
CRA 40A # 41-56 ,Cabecera del Llano,1107242.204,1279533.76,Tipo Tráfico,4'',-73.10673734,7.122931042
CRA 7 #35-72,Alfonso López,1104287.941,1278690.087,Tipo Tráfico,4'',-73.1334928,7.115358687
CRA 39 # 51-14 ,Cabecera del Llano,1107263.029,1278718.089,Tipo Tráfico,4'',-73.10656435,7.115556172
CL 19 # 30-34,San Alonso,1106113.152,1280424.475,Tipo Tráfico,4'',-73.11693991,7.131005351
CRA 17 # 68-65 ,La Victoria,1106259.349,1276795.885,Tipo Tráfico,4'',-73.11568491,7.098196445
VIA PAMPLONA # 1-97 ,Quinta Brigada,1107167.326,1280314.688,Tipo Tráfico,4'',-73.10740023,7.129992827
CL 22 #20-37,San Francisco,1105266.998,1279975.55,Tipo Tráfico,6'',-73.12460721,7.126962461
CRA 36 # 48-76 HOTEL,Cabecera del Llano,1107027.517,1278792.569,Tipo Tráfico,4'',-73.10869458,7.116234008
CL 107 # 22A-110 ,Provenza,1106462.295,1275241.621,Tipo Tráfico,4'',-73.1138773,7.084140495
CRA 10 DN # 24-12 T 19 ,Villas de San Ignacio,1103465.626,1282714.693,Tipo Tráfico,4'',-73.14086176,7.151760586
CL 10 # 22-36 ,Mutualidad,1105233.761,1281074.385,Tipo Tráfico,4'',-73.12488751,7.136897685
CL 40 # 23-54,Bólivar,1105975.933,1279047.65,Tipo Tráfico,4'',-73.11820782,7.118560027
CRA 23 # 37-81 ,Bólivar,1105865.008,1279049.557,Tipo Milán,3'',-73.11921179,7.118579342
CL 10NB # 2 OCC - 03 -  ETAPA 3,Villas de San Ignacio,1102850.864,1282537.923,Tipo Tráfico,4'',-73.14642977,7.150173665
CRA 49 # 53-158 ,Pan de Azucar,1107628.3,1278402.121,Tipo Milán,3'',-73.10326427,7.112692562
CL 32 # 25-50/60 ,Antonia Santos centro,1105893.13,1279662.719,Tipo Tráfico,4'',-73.11894574,7.124122436
CL 21 # 28-25,San Alonso,1105965.512,1280209.125,Tipo Tráfico,4'',-73.11828031,7.129061138
CL 24 # 24-44 ,Alarcón,1105659.522,1279978.602,Tipo Tráfico,4'',-73.12105427,7.126982718
CL 106 # 21-05,Provenza,1106112.869,1275289.746,Tipo Milán,3'',-73.11703888,7.084582136
CRA 38#18-64,Centro,1105468.05,1278930.28,Tipo Tráfico,4'',-73.12280696,7.11750838
CRA 28 # 45-63,Sotomayor,1106534.063,1278938.101,Tipo Milán,3'',-73.11315815,7.117559094
CL 66A # 25W-11 ,La Gran Ladera,1104189.749,1275863.227,Tipo Tráfico,4'',-73.13443363,7.089802655
CRA 17 # 70-04,Nueva Granada,1106349.993,1276652.919,Tipo Milán,3'',-73.1148672,7.096902181
CRA 17 # 22N-06,Olas Bajas,1104254.91,1283134.05,Tipo Milán,3'',-73.13370946,7.155537434
CL 110A # 15-07 ,Punta Paraíso,1105276.883,1274484.629,Tipo Tráfico,4'',-73.12461994,7.077318596
CL 64 # 46-05 ,La Floresta,1107344.521,1277775.002,Tipo Tráfico,4'',-73.10584468,7.107028185
COSTADO SUR VIADUCTO LA FLORA,El Tejar,1107248.721,1277044.67,Tipo Tráfico,4'',-73.10672561,7.100427067
CRA 32 # 17-40 ,San Alonso,1106223.686,1280598.997,Tipo Tráfico,4'',-73.11593613,7.132581126
TRANS 93 # 34-180 T 8 ,El Tejar,1107137.46,1277022.408,Tipo Tráfico,4'',-73.10773304,7.100227905
TRANS 93 # 34-99 OF 1004,El Tejar,1107128.011,1276958.783,Tipo Tráfico,4'',-73.10781977,7.099652843
TRANS 93 # 34-99 ,El Tejar,1107116.408,1276899.482,Tipo Tráfico,4'',-73.1079259,7.099116922
TRANS ORIENTAL # 90-182 ,El Tejar,1107228.555,1276994.377,Tipo Tráfico,4'',-73.10690908,7.099972746
TRANS 93 # 34-99 ,El Tejar,1107245.534,1276884.864,Tipo Tráfico,4'',-73.10675749,7.098982317
DG 31 # 52-06,Bolarqui,1106630.224,1278397.472,Tipo Tráfico,4'',-73.112298,7.112669446
CRA 24 # 19N-07 ,Lizcano II,1105197.817,1282409.498,Tipo Milán,3'',-73.12518789,7.148969162
CL 37 #6-23,Alfonso López,1104319.675,1278680.385,Tipo Tráfico,4'',-73.13320575,7.115270387
CRA 34 # 42-54 ,Cabecera del Llano,1106765.432,1279275.865,Tipo Tráfico,4'',-73.1110576,7.120608454
TRANS CENTRAL METROP # 2A-14,Bucaramanga,1104830.367,1276350.842,Tipo Milán,3'',-73.12862659,7.094199408
CL 121 # 19-12 ,El Cristal,1106020.99,1274429.63,Tipo Milán,3'',-73.11788651,7.07680751
CRA 21B # 115-116 BL 2 E.A AP.101,Provenza,1106226.176,1274621.86,Tipo Milán,3'',-73.1160259,7.078541644
CRA 24 # 89-08,Diamante II,1106582.78,1275958.412,Tipo Milán,3'',-73.11277337,7.090618755
AV 89 # 23-211,Diamante II,1106739.194,1276358.178,Tipo Milán,3'',-73.11135019,7.09423011
TRANS ORIENTAL # 90-182 ,El Tejar,1107239.361,1276934.256,Tipo Tráfico,4'',-73.10681242,7.099428995
CL 19 # 32-45,San Alonso,1106302.39,1280472.257,Tipo Tráfico,4'',-73.11522613,7.131433785
CL 105 # 21-05 ,Provenza,1106114.214,1275392.56,Tipo Piso,2'',-73.11702479,7.08551166
CRA 21 # 103-32,Provenza,1106114.407,1275452.999,Tipo Piso,2'',-73.11702191,7.086058088
CL 55 # 28-54 ,Bolarqui,1106516.942,1278201.066,Tipo Piso,2'',-73.11332702,7.11089587
CL 71D # 31A-05,Quebrada La iglesia,1106972.682,1277300.216,Tipo Piso,2'',-73.10921916,7.102742678
SUB-ESTACION PROVENZA C105 K24,Provenza,1106717.839,1275392.556,Tipo Piso,2'',-73.11156166,7.085500305
CRA 19#41-51,Centro,1105568.197,1278799.371,Tipo Milán,3'',-73.12190296,7.116322962
AUT FLORIDA # 86-30,Villa Diamante,1106969.902,1275909.55,Tipo Tráfico,6'',-73.1092706,7.09016971
PEATONAL CRA 33A # 112-32 ,Villa Diamante,1106945.686,1275991.167,Tipo Tráfico,4'',-73.10948823,7.090908064
CL 104B # 15A-03 ,Delicias,1105563.148,1275233.709,Tipo Tráfico,6'',-73.1220152,7.084085753
CL 57 # 3W-05,Mutis,1104558.515,1277059.822,Tipo Milán,3'',-73.13107396,7.100614358
CRA 2W # 58-07 ,Mutis,1104679.884,1277104.054,Tipo Milán,3'',-73.12997464,7.101012028
CL 53 # 49-26 CASA 5,Pan de Azucar,1107689.68,1278514.742,Tipo Tráfico,4'',-73.10270657,7.113709599
CL 105 # 22-160 ,Provenza,1106423.906,1275364.771,Tipo Tráfico,4'',-73.11422243,7.085254617
CL 42 # 29-10,Mejoras Públicas,1106543.764,1279251.959,Tipo Tráfico,4'',-73.11306441,7.120396505
CL 50 #16-48,San Miguel,1105490.732,1278265.576,Tipo Tráfico,4'',-73.12261408,7.111498342
CL 41 # 26-45,Bólivar,1106252.933,1279074.83,Tipo Tráfico,4'',-73.11570013,7.118800552
CL 32 # 26-80 SERVITECA PARQUE,Antonia Santos centro,1105971.957,1279706.863,Tipo Tráfico,4'',-73.11823142,7.124520056
CRA 27 # 36-70 ,Bólivar,1106172.845,1279272.347,Tipo Tráfico,4'',-73.11642131,7.120587816
CL 53 # 37-38,Cabecera del Llano,1107225.024,1278359.553,Tipo Tráfico,4'',-73.10691514,7.112315375
CRA 27A # 51-10 LAVADERO,Nuevo Sotomayor,1106322.233,1278580.779,Tipo Tráfico,4'',-73.11508219,7.11433253
CRA 27 # 33-02/22,Antonia Santos centro,1106025.859,1279639.96,Tipo Tráfico,4'',-73.1177448,7.123914177
CRA 22#33-01,Antonia Santos centro,1105609.636,1279457.019,Tipo Tráfico,4'',-73.12151558,7.122268001
CRA 28 # 42-47 ,Sotomayor,1106457.393,1279144.468,Tipo Tráfico,4'',-73.11384821,7.119426303
CL 10 # 26-16 ,Universidad,1105571.533,1281141.925,Tipo Tráfico,4'',-73.12182888,7.137502001
CRA 29 # 32-37 ,Mejoras Públicas,1106207.598,1279793.016,Tipo Tráfico,4'',-73.11609694,7.125294545
CRA 39A # 42-56 ,Cabecera del Llano,1107188.26,1279360.934,Tipo Tráfico,4'',-73.10722889,7.121369551
CL 35 # 29-20 ,Mejoras Públicas,1106358.441,1279570.201,Tipo Tráfico,4'',-73.11473582,7.123277226
CRA 25 # 11-31,Universidad,1105506.091,1281011.445,Tipo Piso,2'',-73.12242369,7.136323554
CRA 37 # 100-23 T 6 ,Fatima,1107782.267,1276459.739,Tipo Tráfico,4'',-73.10190774,7.095128585
CRA 32A # 14-11,San Alonso,1106282.599,1280789.56,Tipo Milán,3'',-73.11539928,7.1343029
CRA 39 # 48-152 ,Cabecera del Llano,1107242.588,1278752.183,Tipo Tráfico,4'',-73.10674872,7.115864803
CRA 31 # 21-42 ,San Alonso,1106212.28,1280200.021,Tipo Piso,2'',-73.11604689,7.128974194
CL 48 # 25-43,Nuevo Sotomayor,1106189.092,1278863.068,Tipo Milán,3'',-73.11628195,7.116887217
CRA 21 # 54-62,La Concordia,1106132.179,1278069.102,Tipo Tráfico,4'',-73.116812,7.109710018
PEAT CRA 59 # 20-24,Provenza,1106147.403,1275130.987,Tipo Tráfico,4'',-73.1167293,7.083146146
CL 35 # 29-05 ,Mejoras Públicas,1106345.278,1279564.092,Tipo Milán,3'',-73.11485507,7.123222245
CL 43 # 35-55 ,Cabecera del Llano,1106928.037,1279301.887,Tipo Tráfico,4'',-73.10958533,7.120840639
CL 18 # 32B-45,San Alonso,1106439.692,1280585.261,Tipo Tráfico,4'',-73.11398122,7.132452865
CRA 29 # 16-67,San Alonso,1105959.959,1280598.478,Tipo Milán,3'',-73.11832325,7.132581397
CRA 28 # 30-55 ,La Aurora,1106052.025,1279868.123,Tipo Milán,3'',-73.11750367,7.12597651
CL 32 # 27,La Aurora,1106009.791,1279745.603,Tipo Tráfico,4'',-73.11788824,7.124869602
CL 18 # 32-69,San Alonso,1106307.876,1280570.825,Tipo Tráfico,4'',-73.11517462,7.132324838
CRA 27 # 33-95/97,Mejoras Públicas,1106113.971,1279549.018,Tipo Tráfico,4'',-73.11694898,7.123090314
CRA 33 # 37-68/ 50,Mejoras Públicas,1106638.269,1279502.723,Tipo Tráfico,4'',-73.1122043,7.122661879
CRA 27 # 37-56 LAVADERO,Mejoras Públicas,1106223.247,1279208.604,Tipo Tráfico,4'',-73.1159663,7.12001057
CL 42 # 35-45,El Prado,1106893.37,1279371.974,Tipo Tráfico,4'',-73.10989779,7.12147495
CL 36 # 28-07 ,Mejoras Públicas,1106278.285,1279456.862,Tipo Tráfico,4'',-73.11546347,7.122254033
CL 33 # 30-20,Mejoras Públicas,1106341.698,1279806.05,Tipo Tráfico,4'',-73.11488291,7.12540986
CL 15 # 25-50,San Francisco,1105609.043,1280711.163,Tipo Tráfico,4'',-73.12149745,7.133606765
CRA 25 # 15-02 ,San Francisco,1105553.138,1280692.919,Tipo Tráfico,4'',-73.12200381,7.13344287
CL 20 # 25-45 ,San Francisco,1105704.352,1280253.464,Tipo Tráfico,4'',-73.12064335,7.129466915
CRA 55 # 71-02 PARROQUIA,Lagos del Cacique,1108252.248,1277618.906,Tipo Milán,3'',-73.0976319,7.105599625
CRA 53 # 72-13,Lagos del Cacique,1108034.42,1277403.123,Tipo Tráfico,4'',-73.09960756,7.103652897
CRA 11W # 60BIS-90 ,Brisas del Mutis,1104303.192,1276468.964,Tipo Milán,3'',-73.13339574,7.095277076
CL 9 # 23-04 LOC 2,Comuneros,1105276.106,1281186.282,Tipo Milán,3'',-73.12450214,7.137908567
CRA 6 # 60-03 CUNJ. RESIDENCIAL SAMANES 5 ,Ciudadela Real de Minas,1105190.273,1277325.679,Tipo Milán,3'',-73.12535105,7.103006289
CRA 9 # 60-02 ,Ciudadela Real de Minas,1105359.532,1277441.257,Tipo Tráfico,6'',-73.12381695,7.104048091
CRA 9A#45A-03,Chorreras de Don Juan,1104756.778,1278324.141,Tipo Milán,3'',-73.12925607,7.112041479
CRA 10E # 68-26,Pablo VI,1105874.101,1276572.255,Tipo Piso,2'',-73.11917589,7.096181806
CRA 3 # 58-35 T 4D INT 1,Ciudadela Real de Minas,1104961.984,1277235.436,Tipo Milán,3'',-73.12741895,7.102194637
CRA 14#42 ESQUINA ,Centro,1105041.779,1278695.748,Tipo Tráfico,4'',-73.12666959,7.115395914
CL 69 # 8A-31 JUAN XXIII,Juan XXIII,1105692.924,1276360.596,Tipo Milán,3'',-73.12081964,7.094271573
CRA 17A # 63-37 LOC. 11,La Ceiba,1106069.761,1277372.246,Tipo Milán,3'',-73.11739003,7.103410898
AV. QUEBRADA SECA CRA 18-96,Alarcón,1105245.38,1279623.908,Tipo Milán,3'',-73.12480945,7.123783651
CL 69 # 20-25 ,La Victoria,1106435.216,1276897.231,Tipo Piso,2'',-73.11409127,7.099109413
CL 68 # 15-04 ,La Victoria,1106131.213,1276785.633,Tipo Piso,2'',-73.11684484,7.098106156
CL 67 # 16-30,La Victoria,1106129.536,1276942.356,Tipo Piso,2'',-73.11685707,7.09952313
CL 68 # 11-06,La Victoria,1105969.913,1276663.151,Tipo Milán,3'',-73.11830702,7.097001811
CRA 17C # 64-27,La Ceiba,1106225.443,1277376.574,Tipo Piso,2'',-73.11598088,7.103447105
CL 61 # 17-36 ,La Ceiba,1106017.536,1277489.367,Tipo Milán,3'',-73.11786051,7.104470765
CRA 27 # 67-15,La Salle,1106524.745,1277241.624,Tipo Milán,3'',-73.11327448,7.102221398
CL 23N # 17-90,Olas Bajas,1104323.03,1283217.043,Tipo Milán,3'',-73.1330913,7.156286512
